rxnorm,snomed
583218,426653008
1663184,426653008
1165953,426653008
583214,426653008
1663181,426653008
1163532,426653008
1790177,372817009
1799310,372817009
1790131,372817009
1790181,372817009
2001100,372817009
1799305,372817009
1799308,372817009
1799307,372817009
2001102,372817009
1790128,372817009
1799303,372817009
1799309,372817009
2284506,372817009
2284504,372817009
1799304,372817009
1175913,372817009
1247776,372817009
1790100,372817009
1790103,372817009
1790097,372817009
1872062,372817009
1790099,372817009
1191138,372817009
1790095,372817009
1790127,372817009
1790115,372817009
374376,372817009
1790094,372817009
1160774,372817009
92752,387172005
213045,387172005
284539,387172005
1669873,387172005
1791703,387172005
213841,387172005
362845,387172005
362325,387172005
362219,387172005
362409,387172005
1791702,387172005
1669871,387172005
1669872,387172005
1170654,387172005
1171213,387172005
1173675,387172005
1173846,387172005
105583,387172005
105584,387172005
239177,387172005
310379,387172005
284191,387172005
1669868,387172005
310380,387172005
1600382,387172005
1791736,387172005
197709,387172005
1791701,387172005
199316,387172005
372227,387172005
372228,387172005
372230,387172005
377700,387172005
1600380,387172005
1791700,387172005
1600379,387172005
1160829,387172005
1160830,387172005
1160831,387172005
1160832,387172005
1437969,387420009
2386859,387420009
197549,387420009
1437968,387420009
1734921,387420009
1734919,387420009
197550,387420009
1734917,387420009
371664,387420009
1437967,387420009
1734916,387420009
376666,387420009
1156181,387420009
1156182,387420009
1156183,387420009
1790128,428681007
2284504,428681007
2284506,428681007
1175913,428681007
1247776,428681007
1790127,428681007
1790115,428681007
1790094,428681007
1160774,428681007
1732183,417916005
1732187,417916005
1732174,417916005
1174614,417916005
1732182,417916005
1732186,417916005
1732171,417916005
1163893,417916005
2058863,386920008
2058893,386920008
2058881,386920008
2058895,386920008
2058883,386920008
2058891,386920008
2058918,386920008
2058928,386920008
2058934,386920008
2058867,386920008
1719013,386920008
1719015,386920008
2058861,386920008
1719012,386920008
2058862,386920008
1167718,386920008
2058880,386920008
2058890,386920008
1720960,386920008
1720975,386920008
2058866,386920008
2058882,386920008
2058892,386920008
1720977,386920008
2058894,386920008
2058927,386920008
1998783,386920008
1719000,386920008
2058912,386920008
1719003,386920008
2058933,386920008
1719005,386920008
2058858,386920008
1718999,386920008
1998782,386920008
1156710,386920008
1719777,372538008
1726325,372538008
1726321,372538008
1726335,372538008
1726320,372538008
2284502,372538008
1719776,372538008
1172305,372538008
1726319,372538008
1726492,372538008
1726333,372538008
1719772,372538008
1726324,372538008
1726318,372538008
1161334,372538008
1747181,387381009
1747187,387381009
2377338,387381009
2377354,387381009
2377352,387381009
1544390,387381009
2377350,387381009
1441424,387381009
1544398,387381009
1441407,387381009
